rank,package_name,downloads,status,phantom_count,phantom_deps,total_imports,total_declared
82,grpcio,231606452,success,17,"commands,cython,envoy,google,grpc,grpc_channelz,grpc_csds,grpc_csm_observability,grpc_health,grpc_observability,grpc_reflection,grpc_tools,opencensus,opentelemetry,support,typeguard,typing_extensions",17,0
83,pathspec,231492436,success,1,tomli,2,4
84,rpds-py,231267702,clone_failed,0,,0,0
85,psutil,229581650,success,0,,0,0
86,openpyxl,228941626,no_repo,0,,0,0
87,et-xmlfile,227522764,no_repo,0,,0,0
88,pyparsing,226895945,success,1,railroad,2,2
89,scipy,226870057,success,14,"annotationlib,cffi,convert,cupyx,jax,pkg_resources,platformdirs,psutil,scikits,sksparse,sparse,sympy,tempita,uarray",20,37
90,lxml,224041829,success,11,"beautifulsoup,bs4,buildlibxml,cssselect,cython,html5lib,htmlentitydefs,lxml_html_clean,urllib2,urlparse,versioninfo",11,0
91,referencing,223894386,clone_failed,0,,0,0
92,jsonschema-specifications,222331615,clone_failed,0,,0,0
93,beautifulsoup4,222163877,no_repo,0,,0,0
94,soupsieve,220165531,success,1,bs4,1,0
95,tomlkit,211162790,success,0,,0,0
96,oauthlib,210755569,success,2,"blinker,jwt",2,0
97,starlette,210031787,clone_failed,0,,0,0
98,uvicorn,209622234,clone_failed,0,,0,0
99,snowflake-connector-python,203111712,clone_failed,0,,0,0
100,fastapi,195257040,success,7,"anyio,flask,jwt,markupsafe,pwdlib,sqlmodel,strawberry",18,16
101,distlib,193566665,success,12,"configparser,dummy_thread,htmlentitydefs,htmlparser,httplib,java,queue,stringio,thread,urllib2,urlparse,xmlrpclib",12,0
102,pyopenssl,192917881,success,3,"cffi,openssl,typing_extensions",4,5
103,grpcio-tools,191721578,success,17,"commands,cython,envoy,google,grpc,grpc_channelz,grpc_csds,grpc_csm_observability,grpc_health,grpc_observability,grpc_reflection,grpc_tools,opencensus,opentelemetry,support,typeguard,typing_extensions",17,0
104,requests-toolbelt,191717796,clone_failed,0,,0,0
105,docutils,190201440,no_repo,0,,0,0
106,opentelemetry-semantic-conventions,188607865,clone_failed,0,,0,0
107,exceptiongroup,185374845,clone_failed,0,,0,0
108,trove-classifiers,185095916,success,1,natsort,1,0
109,more-itertools,184711284,success,0,,0,0
110,werkzeug,181131658,success,4,"colorama,cryptography,pkg_resources,typing_extensions",6,2
111,isodate,180589386,success,0,,0,0
112,yandexcloud,179678706,success,4,"google,grpc,jwt,yandex",7,9
113,msgpack,175287419,clone_failed,0,,0,0
114,opentelemetry-sdk,171499356,clone_failed,0,,0,0
115,proto-plus,169064583,success,2,"google,proto",2,2
116,regex,167525472,success,0,,0,0
117,mypy-extensions,167369018,success,0,,0,0
118,opentelemetry-api,167047771,clone_failed,0,,0,0
119,opentelemetry-proto,165198165,clone_failed,0,,0,0
120,google-cloud-storage,165080102,success,8,"google,google_crc32c,grpc,opentelemetry,proto,requests,synthtool,urllib3",8,0
121,websocket-client,162674215,success,2,"socks,websocket",3,4
122,opensearch-py,162517119,success,10,"botocore,deepmerge,jinja2,numpy,opensearchpy,pandas,queue,simplejson,unasync,yarl",15,6
123,pexpect,162387709,success,1,queue,2,1
124,ptyprocess,162334282,success,0,,0,0
125,shellingham,161685773,success,2,"parver,towncrier",2,1
126,psycopg2-binary,160174649,success,1,psycopg2,1,0
127,decorator,158759122,no_repo,0,,0,0
128,flask,158403237,success,2,"cryptography,typing_extensions",9,8
129,tenacity,157842022,success,4,"sniffio,tornado,trio,typing_extensions",4,2
130,requests-aws4auth,156675287,clone_failed,0,,0,0
131,pynacl,155900291,success,2,"nacl,requests",3,7
132,scikit-learn,146614098,success,20,"array_api_compat,array_api_strict,catboost,cupy,dask,defusedxml,github,jax,jinja2,lightgbm,ndonnx,packaging,pil,requests,sklearn,sparse,spin,torch,typing_extensions,xgboost",30,33
133,coverage,146594341,success,9,"eventlet,gevent,greenlet,lnotab,new,opcode,ox_profile,pudb,wcmatch",9,0
134,sortedcontainers,145051798,no_repo,0,,0,0
135,azure-core,141034278,clone_failed,0,,0,0
136,wcwidth,141010354,success,7,"blessed,dateutil,docopt,jinja2,requests,typing_extensions,urllib3",7,0
137,async-timeout,140104054,success,0,,0,0
138,msal,137367943,success,7,"basehttpserver,cryptography,dotenv,jwt,msal_extensions,pymsalruntime,urlparse",8,1
139,networkx,136881714,success,1,pil,9,37
140,asn1crypto,135909273,success,6,"cstringio,dev,oscrypto,oscrypto_tests,urlparse,userdict",6,0
141,bcrypt,135704373,success,0,,0,2
142,events,135074442,success,0,,0,0
143,python-multipart,134789371,clone_failed,0,,0,0
