packageName,rank,downloads,phantomCount,vulnerablePhantomCount,phantomDeps
pdfminer-six,866,14181737,2,0,atheris;pygame
cmake,867,14167235,2,1,requests;scikit-build-core
ormsgpack,868,14146298,2,2,numpy;pydantic
jaydebeapi,869,14116028,3,0,jarray;java;jpype
spacy-loggers,870,14093059,2,1,thinc;torch
onnx,871,14079796,1,0,pydot
opentelemetry-instrumentation-django,872,14056130,16,3,agents;aiormq;astor;billiard;elastic-transport;gevent;langchain-core;mcp;multidict;mysqldb;readme-renderer;snappy;tomli;tomli-w;tortoise;yarl
fuzzywuzzy,873,14052197,3,0,levenshtein;pycodestyle;userdict
pymdown-extensions,874,14016543,1,1,requests
aiohttp-retry,876,13878904,0,0,
pyroaring,877,13863785,6,1,croaring;pandas;roaringbitmap;sortedcontainers;tabulate;typing-extensions
opentelemetry-instrumentation-threading,878,13862621,16,3,agents;aiormq;astor;billiard;elastic-transport;gevent;langchain-core;mcp;multidict;mysqldb;readme-renderer;snappy;tomli;tomli-w;tortoise;yarl
confection,879,13774403,1,0,typing-extensions
apispec,880,13713409,0,0,
opentelemetry-instrumentation-flask,881,13685161,16,3,agents;aiormq;astor;billiard;elastic-transport;gevent;langchain-core;mcp;multidict;mysqldb;readme-renderer;snappy;tomli;tomli-w;tortoise;yarl
apache-airflow,882,13645544,21,2,airflow-shared;anyio;attr;daemon;elastic-transport;fastapi-cli;flask-babel;github3;googleapiclient;gremlin-python;httpcore;pyjwt;kombu;mysqldb;openapi-spec-validator;performance-dags;pydantic-core;pymysql;thrift;unit;watchfiles
python-gnupg,883,13594367,1,0,queue
google-generativeai,884,13588465,11,6,absl;googleapiclient;gspread;httplib2;ipython;pandas;pillow;proto;pydantic;tqdm;typing-extensions
python-gitlab,885,13552556,0,0,
impyla,886,13542666,13,4,bitarray;cdecimal;hdfs;kerberos;llvm;pandas;puresasl;requests;simplejson;six;thrift-sasl;urllib2;winkerberos
tensorflow-estimator,887,13456284,8,4,absl;h5py;numpy;pandas;scikit-learn;six;tensorflow;tf-keras
aws-sam-translator,888,13447003,12,3,boto3;botocore;dateparser;jsonschema;parameterized;py;pydantic;python-dateutil;pyyaml;ruamel;tenacity;typing-extensions
pyotp,889,13410858,0,0,
hiredis,890,13342801,0,0,
clickhouse-connect,891,13333164,16,10,aiohttp;brotli;certifi;cython;dev-config;lz4;numpy;orjson;pandas;polars;pyarrow;sqlalchemy;tzlocal;ujson;urllib3;zstandard
immutabledict,893,13280747,0,0,
ua-parser,894,13271772,1,0,versioningit
mypy-boto3-iam,895,13255284,4,0,mypy-boto3-s3;pytest-mock;types-aiobotocore-s3;types-boto3-s3
pytest-env,896,13243959,1,0,dotenv
office365-rest-python-client,897,13233850,0,0,
maxminddb,898,13213679,1,0,typing-extensions
jwcrypto,899,13209518,0,0,
eval-type-backport,901,13139405,0,0,
fastapi-cloud-cli,902,13138472,2,0,rich;typing-extensions
rich-argparse,903,13090815,2,0,colorama;typing-extensions
opentelemetry-instrumentation-psycopg2,904,13079823,16,3,agents;aiormq;astor;billiard;elastic-transport;gevent;langchain-core;mcp;multidict;mysqldb;readme-renderer;snappy;tomli;tomli-w;tortoise;yarl
langgraph-checkpoint,906,13057715,13,6,dotenv;langchain;langchain-protocol;langsmith;msgspec;numpy;pycryptodome;pydantic-core;pyperf;requests;starlette;typing-extensions;uvloop
partd,907,13052642,4,0,msgpack;packaging;snappy;versioneer
locket,908,13026862,0,0,
ibmcloudant,909,13006788,0,0,
configargparse,911,12999244,4,1,pyyaml;simplehttpserver;socketserver;toml
xarray,914,12894533,15,3,cf-units;cfgrib;cubed;cupy;distributed;h5py;iris;jinja2;mpl-toolkits;numpydoc;pyyaml;sphinx-autosummary-accessors;tlz;tomli;tomli-w
gql,915,12860994,9,0,aiofiles;anyio;botocore;graphql;multidict;requests-toolbelt;tenacity;typing-extensions;yarl
langgraph-sdk,916,12842131,13,6,dotenv;langchain;langchain-protocol;langsmith;msgspec;numpy;pycryptodome;pydantic-core;pyperf;requests;starlette;typing-extensions;uvloop
blobfile,918,12804400,6,2,av;cryptodome;imageio;numpy;tensorflow;xmltodict
pypdfium2,919,12750928,6,3,ctypesgen;numpy;opencv-python;packaging;pillow;tabulate
pywavelets,921,12737052,6,2,click;pillow;pymatbridge;pyqtgraph;scipy;spin
django-cors-headers,922,12684672,0,0,
unstructured-client,923,12671466,6,2,deepdiff;freezegun;pydantic-core;requests;typing-extensions;uvloop
thrift-sasl,925,12631481,3,0,cstringio;six;thrift
webdriver-manager,926,12622393,3,2,brotli;dotenv;selenium
pydantic-extra-types,928,12510377,2,0,bson;pydantic-core
factory-boy,929,12445339,2,2,pillow;sqlalchemy
mypy-boto3-batch,930,12405147,4,0,mypy-boto3-s3;pytest-mock;types-aiobotocore-s3;types-boto3-s3
